product_category,revenue,order_count,avg_review,late_rate
health_beauty,1412089.53,8647,4.19,0.09
watches_gifts,1264333.12,5495,4.07,0.08
bed_bath_table,1225209.26,9272,3.92,0.08
sports_leisure,1118256.91,7530,4.17,0.07
computers_accessories,1032723.77,6530,3.99,0.08
furniture_decor,880329.92,6307,3.96,0.08
housewares,758392.25,5743,4.11,0.06
cool_stuff,691680.89,3559,4.19,0.07
auto,669454.75,3810,4.12,0.08
garden_tools,567145.68,3448,4.08,0.08
toys,547061.06,3804,4.21,0.07
baby,466727.65,2809,4.08,0.09
perfumery,443171.63,3086,4.22,0.07
telephony,379202.62,4093,3.99,0.08
office_furniture,335211.36,1254,3.51,0.09
stationery,269575.05,2264,4.25,0.08
pet_shop,250614.2,1688,4.22,0.06
computers,228349.76,177,4.22,0.07
unknown,203353.84,1412,3.93,0.09
musical_instruments,202187.12,611,4.22,0.09
electronics,200723.09,2517,4.07,0.1
small_appliances,198108.47,609,4.23,0.06
fashion_bags_accessories,179888.29,1820,4.19,0.06
luggage_accessories,168778.12,1019,4.35,0.05
consoles_games,167097.73,1018,4.14,0.08
construction_tools_construction,162382.01,736,4.09,0.08
home_appliances_2,118208.52,227,4.16,0.07
home_construction,95022.37,483,3.96,0.08
home_appliances,93301.78,747,4.22,0.07
furniture_living_room,85045.07,414,3.93,0.08
agro_industry_and_commerce,76203.3,177,4.09,0.04
home_confort,66438.22,392,3.86,0.1
air_conditioning,59854.55,246,4.05,0.04
fixed_telephony,59816.54,212,3.76,0.04
kitchen_dining_laundry_garden_furniture,57072.97,241,4.03,0.04
audio,56255.32,348,3.84,0.13
books_general_interest,54182.54,496,4.51,0.07
small_appliances_home_oven_and_coffee,49245.9,72,4.44,0.07
construction_tools_lights,47447.14,242,4.08,0.1
industry_commerce_and_business,46079.34,232,4.13,0.08
construction_tools_safety,42504.02,159,3.97,0.05
food,35794.68,441,4.26,0.1
market_place,33114.38,274,4.07,0.04
costruction_tools_garden,30283.94,190,4.12,0.07
fashion_shoes,27814.83,235,4.3,0.06
signaling_and_security,27792.59,138,4.09,0.06
art,27485.53,195,4.08,0.08
drinks,26971.11,287,4.12,0.06
furniture_bedroom,23379.22,90,4.25,0.08
books_technical,22901.07,256,4.39,0.11
food_drink,19337.77,221,4.37,0.06
costruction_tools_tools,17934.17,97,4.44,0.06
fashion_male_clothing,12514.95,106,3.76,0.06
christmas_supplies,11928.75,125,4.07,0.12
fashion_underwear_beach,11160.02,117,4.05,0.13
tablets_printing_image,8754.61,79,4.12,0.07
cine_photo,7902.18,63,4.29,0.07
music,6724.86,38,4.21,0.08
furniture_mattress_and_upholstery,5904.75,37,3.89,0.14
dvds_blu_ray,5769.84,56,4.18,0.07
party_supplies,5285.38,38,3.83,0.05
books_imported,5150.94,50,4.51,0.04
fashio_female_clothing,3218.44,36,3.93,0.07
fashion_sport,2657.55,26,4.34,0.07
la_cuisine,2388.54,13,4.0,0.0
arts_and_craftmanship,2184.14,23,4.12,0.08
diapers_and_hygiene,2046.19,25,3.38,0.03
flowers,1598.91,29,4.42,0.03
home_comfort_2,1170.58,24,3.63,0.17
cds_dvds_musicals,954.99,12,4.64,0.0
fashion_childrens_clothes,598.67,7,5.0,0.0
security_and_services,324.51,2,2.5,0.0
